1 1
01.01.1969 00:00:00.00    86400.0    8.  -6. 0.7 2.8e-4  1.5  0.1
9.3333333    0.000    0.000    -1.900    99.000    2.000    90.000
9.3750000    0.000    0.000    -1.900    99.000    2.000    90.000
9.4166667    0.000    0.000    -1.900    99.000    2.000    90.000
9.4583333    0.000    0.000    -1.900    99.000    2.000    90.000
9.5000000    0.000    0.000    -1.900    99.000    2.000    90.000
9.5416667    18.237    18.237    -1.900    99.000    2.000    90.000
9.5833333    18.237    18.237    -1.900    99.000    2.000    90.000
9.6250000    18.237    18.237    -1.900    99.000    2.000    90.000
9.6666667    18.237    18.237    -1.900    99.000    2.000    90.000
9.7083333    18.237    18.237    -1.900    99.000    2.000    90.000
9.7500000    18.237    18.237    -1.900    99.000    2.000    90.000
9.7916667    18.237    18.237    -1.900    99.000    2.000    90.000
9.8333333    18.237    18.237    -1.900    99.000    2.000    90.000
9.8750000    18.237    18.237    -1.900    99.000    2.000    90.000
9.9166667    18.237    18.237    -1.900    99.000    2.000    90.000
9.9583333    18.237    18.237    -1.900    99.000    2.000    90.000
10.0000000    18.237    18.237    -1.900    99.000    2.000    90.000
10.0416667    0.000    0.000    -4.000    94.000    1.500    90.000
10.0833333    0.000    0.000    -4.000    94.000    1.500    90.000
10.1250000    0.000    0.000    -4.000    94.000    1.500    90.000
10.1666667    0.000    0.000    -4.000    94.000    1.500    90.000
10.2083333    0.000    0.000    -4.000    94.000    1.500    90.000
10.2500000    0.000    0.000    -4.000    94.000    1.500    90.000
10.2916667    0.000    0.000    -4.000    94.000    1.500    90.000
10.3333333    0.000    0.000    -4.000    94.000    1.500    90.000
10.3750000    0.000    0.000    -4.000    94.000    1.500    90.000
10.4166667    0.000    0.000    -4.000    94.000    1.500    90.000
10.4583333    0.000    0.000    -4.000    94.000    1.500    90.000
10.5000000    0.000    0.000    -4.000    94.000    1.500    90.000
10.5416667    18.237    18.237    -4.000    94.000    1.500    90.000
10.5833333    18.237    18.237    -4.000    94.000    1.500    90.000
10.6250000    18.237    18.237    -4.000    94.000    1.500    90.000
10.6666667    18.237    18.237    -4.000    94.000    1.500    90.000
10.7083333    18.237    18.237    -4.000    94.000    1.500    90.000
10.7500000    18.237    18.237    -4.000    94.000    1.500    90.000
10.7916667    18.237    18.237    -4.000    94.000    1.500    90.000
10.8333333    18.237    18.237    -4.000    94.000    1.500    90.000
10.8750000    18.237    18.237    -4.000    94.000    1.500    90.000
10.9166667    18.237    18.237    -4.000    94.000    1.500    90.000
10.9583333    18.237    18.237    -4.000    94.000    1.500    90.000
11.0000000    18.237    18.237    -4.000    94.000    1.500    90.000
11.0416667    0.000    0.000    0.500    95.000    0.300    90.000
11.0833333    0.000    0.000    0.500    95.000    0.300    90.000
11.1250000    0.000    0.000    0.500    95.000    0.300    90.000
11.1666667    0.000    0.000    0.500    95.000    0.300    90.000
11.2083333    0.000    0.000    0.500    95.000    0.300    90.000
11.2500000    0.000    0.000    0.500    95.000    0.300    90.000
11.2916667    0.000    0.000    0.500    95.000    0.300    90.000
11.3333333    0.000    0.000    0.500    95.000    0.300    90.000
11.3750000    0.000    0.000    0.500    95.000    0.300    90.000
11.4166667    0.000    0.000    0.500    95.000    0.300    90.000
11.4583333    0.000    0.000    0.500    95.000    0.300    90.000
11.5000000    0.000    0.000    0.500    95.000    0.300    90.000
11.5416667    18.237    18.237    0.500    95.000    0.300    90.000
11.5833333    18.237    18.237    0.500    95.000    0.300    90.000
11.6250000    18.237    18.237    0.500    95.000    0.300    90.000
11.6666667    18.237    18.237    0.500    95.000    0.300    90.000
11.7083333    18.237    18.237    0.500    95.000    0.300    90.000
11.7500000    18.237    18.237    0.500    95.000    0.300    90.000
11.7916667    18.237    18.237    0.500    95.000    0.300    90.000
11.8333333    18.237    18.237    0.500    95.000    0.300    90.000
11.8750000    18.237    18.237    0.500    95.000    0.300    90.000
11.9166667    18.237    18.237    0.500    95.000    0.300    90.000
11.9583333    18.237    18.237    0.500    95.000    0.300    90.000
12.0000000    18.237    18.237    0.500    95.000    0.300    90.000
12.0416667    0.000    0.000    1.600    92.000    2.000    90.000
12.0833333    0.000    0.000    1.600    92.000    2.000    90.000
12.1250000    0.000    0.000    1.600    92.000    2.000    90.000
12.1666667    0.000    0.000    1.600    92.000    2.000    90.000
12.2083333    0.000    0.000    1.600    92.000    2.000    90.000
12.2500000    0.000    0.000    1.600    92.000    2.000    90.000
12.2916667    0.000    0.000    1.600    92.000    2.000    90.000
12.3333333    0.000    0.000    1.600    92.000    2.000    90.000
12.3750000    0.000    0.000    1.600    92.000    2.000    90.000
12.4166667    0.000    0.000    1.600    92.000    2.000    90.000
12.4583333    0.000    0.000    1.600    92.000    2.000    90.000
12.5000000    0.000    0.000    1.600    92.000    2.000    90.000
12.5416667    18.237    18.237    1.600    92.000    2.000    90.000
12.5833333    18.237    18.237    1.600    92.000    2.000    90.000
